NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
ukazatel	216	3	yes1	a	tel	letazaku							ukázat	deVpref	a	per	1	yes	no					yes
oznamovatel	11	4	yes1	ova	tel	letavomanzo							oznamovat	deVsecimp	ova	imp	3	yes	no					yes
jmenovatel	59	3	no	ova	tel	letavonemj							jmenovat	deNaction	ova	bip	3	no	NA					yes
dělitel	9	2	no	i	tel	letilěd							dělit	deNaction	i	imp	4	no	NA					yes
čitatel	22	2	no	a	tel	letatič							čítat	deViter	a	imp	5	no	NA					yes
činitel	1569	2	no	i	tel	letinič							činit	UNMOT	i	imp	4	no	NA					yes
živitel	106	2	no	i	tel	letiviž							živit	deAaction	i	imp	4	no	NA					no
žalovatel	1	3	no	ova	tel	letavolaž							žalovat	deNaction	ova	imp	3	no	NA					no
žadatel	1686	2	no	a	tel	letadaž							žádat	UNMOT	a	imp	5	no	NA					no
zvěstovatel	54	3	yes1	ova	tel	letavotsěvz							zvěstovat	deNaction	ova	imp	3	no	NA					no
zvelebovatel	1	4	yes1	ova	tel	letavobelevz							zvelebovat	deVsecimp	ova	imp	3	yes	no					no
zvelebitel	1	3	yes1	i	tel	letibelevz							zvelebit	deVpref	i	per	4	yes	no					no
zušlechťovatel	2	4	yes2	ova	tel	letavoťhcelšuz							zušlechťovat	deVsecimp	ova	imp	3	yes	no					no
zůstavitel	345	3	no	i	tel	letivatsůz							zůstavit	deVpref	i	per	4	yes	no					no
ztělesnitel	2	3	yes1	i	tel	letinselětz							ztělesnit	deAaction	i	per	4	yes	no					no
zřizovatel	577	3	yes1	ova	tel	letavoziřz							zřizovat	deVsecimp	ova	imp	3	yes	no					no
zprostředkovatel	426	4	yes2	ova	tel	letavokdeřtsorpz							zprostředkovat	deVpref	ova	per	3	yes	no					no
zpronevěřitel	1	4	yes3	i	tel	letiřěvenorpz							zpronevěřit	deNaction	i	per	4	yes	no					no
zpracovatel	416	3	yes1	ova	tel	letavocarpz							zpracovat	deVpref	ova	per	3	yes	no					no
zpodobitel	3	3	yes2	i	tel	letibodopz							zpodobit	deNaction	i	per	4	yes	no					no
zploditel	22	2	yes1	i	tel	letidolpz							zplodit	deVpref	i	per	4	yes	no					no
zpeněžovatel	1	4	yes1	ova	tel	letavožěnepz							zpeněžovat	deVsecimp	ova	imp	3	yes	no					no
zotročovatel	1	4	yes1	ova	tel	letavočortoz							zotročovat	deVsecimp	ova	imp	3	yes	no					no
zotročitel	1	3	yes1	i	tel	letičortoz							zotročit	deVpref	i	per	4	yes	no					no
zosnovatel	2	3	yes2	ova	tel	letavonsoz							zosnovat	deVpref	ova	imp	3	no	NA					no
zobrazovatel	2	4	yes1	ova	tel	letavozarboz							zobrazovat	deVsecimp	ova	imp	3	yes	no					no
znovuobjevitel	1	5	no	i	tel	letivejbouvonz							znovuobjevit	COMPOUND	i	per	4	yes	no					no
znevažovatel	1	4	yes2	ova	tel	letavožavenz							znevažovat	deVsecimp	ova	imp	3	yes	no					no
zneuživatel	1	4	yes2	va	tel	letavižuenz							zneužívat	deVsecimp	va	imp	5	yes	no					no
znesvětitel	1	3	yes2	i	tel	letitěvsenz							znesvětit	deVpref	i	per	4	yes	no					no
znesvěcovatel	1	4	yes2	ova	tel	letavocěvsenz							znesvěcovat	deVsecimp	ova	imp	3	yes	no					no
znečišťovatel	95	4	yes2	ova	tel	letavoťšičenz							znečišťovat	deVsecimp	ova	imp	3	yes	no					no
znečisťovatel	6	4	yes2	ova	tel	letavoťsičenz							znečisťovat	deVsecimp	ova	imp	3	yes	no					no
znatel	2	1	no	a<á	tel	letanz							znát	UNMOT	á	imp	5	no	NA					no
znásilňovatel	3	4	yes2	ova	tel	letavoňlisánz							znásilňovat	deVsecimp	ova	imp	3	yes	no					no
znárodňovatel	1	4	yes2	ova	tel	letavoňdoránz							znárodňovat	deVsecimp	ova	imp	3	yes	no					no
zmocnitel	15	2	yes1	i	tel	letincomz							zmocnit	deNaction	i	per	4	yes	no					no
zlepšovatel	17	3	yes1	ova	tel	letavošpelz							zlepšovat	deVsecimp	ova	imp	3	yes	no					no
zkulturňovatel	1	4	yes1	ova	tel	letavoňrutlukz							zkulturňovat	deVsecimp	ova	imp	3	yes	no					no
zkracovatel	2	3	yes1	ova	tel	letavocarkz							zkracovat	deVsecimp	ova	imp	3	yes	no					no
zkoumatel	2	2	yes1	a	tel	letamuokz							zkoumat	UNMOT	a	imp	5	no	NA					no
zíratel	1	2	no	a	tel	letaríz							zírat	UNMOT	a	imp	5	yes	no					no
zhotovitel	552	3	yes1	i	tel	letivotohz							zhotovit	deAaction	i	per	4	yes	no					no
zhoršovatel	1	3	yes1	ova	tel	letavošrohz							zhoršovat	deVsecimp	ova	imp	3	yes	no					no
