action_noun	verb_frame	form-argument_mapping		
adopce 	 v41tA 	 2, 7 : ARG0	2 : ARG1	
apel 	 v41bxA 	 2 : ARG0	na+4 : ARG1	
atak 	 v41cwA 	 2, 7 : ARG0	2 : ARG1	
boj 	 v41gsA 	 2 : ARG0	o+4, za+4 : ARG2	s+7, proti+3 : ARG1
bojkot 	 v41grA 	 2, 7 : ARG0	2 : ARG1	
debata 	 v41qdA 	 2 : ARG0	s+7 : ARG2	o+6, nad+7, zda, zdali, jestli : ARG1
debut 	 v41qfA 	 2 : ARG0		
dík 	 v41rbA 	 2 : ARG0	za+4 : ARG2	3 : ARG1
dohled 	 v41xwA 	 2 : ARG0	na+4, nad+7 : ARG1	
dosah 	 v41afbB 	 2 : ARG0	na+4 : ARG1	
dotaz 	 v41ahbA 	 2 : ARG0	na+4, o+6, zda, jestli, jak : ARG1	3, na+4, k+3 : ARG2
expanze 	 v41aodA 	 2 : ARG1		
experiment 	 v41aojA 	 2 : ARG0	na+6, s+7 : ARG1	
exploze 	 v41aonA 	 2 : ARG1		
chvála 	 v41bcjA 	 2, od+2, 7 : ARG0	za+4 : ARG2	3, 2 : ARG1
klam 	 v41bkpA 	 2 : ARG0	 o+6, že : ARG2	
kolize 	 v41bnjA 	 2 : ARG0	s+7 : ARG1	
koncert 	 v41bphA 	 2 : ARG0		
konverze 	 v41brqA 	 2, 7 : ARG0	2 : ARG1	
koupě 	 v41btrA 	 2, 7 : ARG0	2 : ARG1	od+2 : ARG2
lež 	 v41cafA 	 2 : ARG0	o+6 : ARG1	
náraz 	 v41cyxF 	 2 : ARG0		
nárok 	 v41czfA 	 2 : ARG0	na+4 : ARG1	
nárůst 	 v41czpA 	 2 : ARG1		
nářek 	 v41daeA 	 2 : ARG0	na+4, nad+7 : ARG1	
nauka 	 v41dfhA 	 2 : ARG0	o+6 : ARG1	
oběh 	 v41dpdA 	 2 : ARG1		
obnova 	 v41driA 	 2, 7 : ARG0	2 : ARG1	
