action_noun 	 pdt_verb
analyzování 	 blu-v-analyzovat-1
darování 	 blu-v-darovat-1
debatování 	 blu-v-dbát-2
děsení-děšení 	 blu-v-děsit-1
děsení-se-děšení-se 	 blu-v-děsit-se-1
diskutování 	 blu-v-diskutovat-1
dočkání 	 blu-v-dočkat-se-2
dohadování1-dohodnutí 	 blu-v-dohadovat1-dohodovat2-dohodnout-1
dohadování2-se 	 blu-v-dohadovat1-se-dohodovat2-se-dohodnout-se-3
domnívání-se 	 blu-v-domnívat-se-1
dotazování-se-dotázání-se 	 blu-v-domnívat-se-1
dovtípení-se 	 blu-v-doufat-1
doznávání-se-doznání-se 	 blu-v-doznat-se-doznávat-se-1
důvěřování 	 blu-v-důvěřovat-2
hrození-se 	 blu-v-hrozit-se-1
informování 	 blu-v-informovat-1+3
informování-se 	 blu-v-informovat-se-1
myšlení-si 	 blu-v-myslet-myslit-1
nabízení-nabídnutí 	 blu-v-nabídnout-nabízet-1
nadchnutí 	 blu-v-nadchnout-1.1
nadchnutí-se 	 blu-v-nadchnout-se-1
nadržování 	 blu-v-nadchnout-se-1
namítání-namítnutí 	 blu-v-namítat-namítnout-1
naštvání 	 blu-v-naštvat-1
navykání-si-navyknutí-si 	 blu-v-navrhnout-navrhovat-3
nenávidění 	 blu-v-nenávidět-1
obdivování 	 blu-v-obdivovat-1
obdivování-se 	 blu-v-obdivovat-se-1
oblíbení-si 	 blu-v-oblíbit-si-oblibovat-si-1
odpovídání-se 	 blu-v-odpovídat-se-1
odvažování1-odvážení1 	 blu-v-odvážit1-odvažovat1-1
odvažování2-se-odvážení2-se 	 blu-v-odvážit2-se-odvažovat2-se-1
ohrožování-ohrožení 	 blu-v-ohrozit-ohrožovat-1
otázání-se 	 blu-v-otázat-se-1
plánování 	 blu-v-plánovat-1
pobuřování-se 	 blu-v-pobouřit-se-pobuřovat-se-1
podezírání-podezřívání 	 blu-v-podezírat-podezřívat-1
podivování-se-podivení-se 	 blu-v-podivit-se-podivovat-se-1
podmínění-podmiňování 	 blu-v-podmínit-podmiňovat-1
podobání-se 	 blu-v-podobat-se-1
pochvalování-si-pochválení-si 	 blu-v-pochválit-pochvalovat-1
pochybování 	 blu-v-pochybovat-1
pomstění 	 blu-v-pomstít-1
pomstění-se 	 blu-v-pomstít-se-1
ponaučování-se-ponaučení-se 	 blu-v-pomyslet-pomyslit-pomýšlet-2
potěšování-se-potěšení-se 	 blu-v-potěšovat-se-potěšit-se-1
poučování-se-poučení-se 	 blu-v-poučit-se-poučovat-se-1
používání-použití 	 blu-v-použít-používat-1
považování 	 blu-v-považovat-1
prošení-se 	 blu-v-prosit-se-1
protestování 	 blu-v-protestovat-1
prozkoumávání-prozkoumání 	 blu-v-prozkoumat-prozkoumávat-1
přání-si 	 blu-v-přát-si-1.1
předpokládání 	 blu-v-předpokládat-1
přemýšlení 	 blu-v-přemýšlet-1
přesvědčování-se-přesvědčení-se 	 blu-v-přesvědčit-se-přesvědčovat-se-1
přislibování-přislíbení 	 blu-v-přislíbit-1
radování-se 	 blu-v-radovat-se-1
ranění 	 blu-v-ranit-2
respektování 	 blu-v-respektovat-1
rozhovoření-se 	 blu-v-rozhodnout-rozhodovat-2
rozkazování-rozkázání 	 blu-v-rozhodnout-rozhodovat-2
sdílení 	 blu-v-sdílet-1
strašení 	 blu-v-strašit-2
tázání-se 	 blu-v-tázat-se-1
toužení 	 blu-v-toužit-1
trápení-se 	 blu-v-trápit-se-2
účastnění-se 	 blu-v-účastnit-se-1
usuzování-usouzení 	 blu-v-usoudit-usuzovat-1
utěšování-se-utěšení-se 	 blu-v-utěšit-se-utěšovat-se-1
uvědomování-si-uvědomění-si 	 blu-v-uvědomit-si-uvědomovat-si-1
vděčení 	 blu-v-vděčit-1
všímání-všimnutí 	 blu-v-všímat-si-všimnout-si-1
vymáhání-vymožení 	 blu-v-vymáhat-vymoci-vymoct-1
vypovídání2-vypovězení2-vypovědění2 	 blu-v-vypovědět2-vypovídat2-1
vypovídání1-se 	 blu-v-vypovídat1-se-1
vyptávání-se-vyptání-se 	 blu-v-vyptat-se-vyptávat-se-1
vyučení-se 	 blu-v-vyučit-se-1
vznikání-vzniknutí 	 blu-v-vznikat-vzniknout-1
vzpomínání-vzpomenutí 	 blu-v-vzpomenout-vzpomínat-3
vzrušování-se 	 blu-v-vzrušit-se-vzrušovat-se-1
zajímání1-se 	 blu-v-zajímat1-se-1
zalíbení-se 	 blu-v-zalíbit-se-1
zamilování 	 blu-v-zamilovat-se-1
závidění 	 blu-v-závidět-1
zeptání-se 	 blu-v-zeptat-se-1
zhrození-se 	 blu-v-zeptat-se-1
znepokojování-se-znepokojení-se 	 blu-v-znepokojit-se-znepokojovat-se-1
zříkání-se-zřeknutí-se 	 blu-v-zřeknout-se-zříci-se-zříkat-se-1
žárlení 	 blu-v-žárlit-1
žasnutí 	 blu-v-žasnout-1
